pos	الحياة حلوة 
pos	الليل جميل والقمر نوره أجمل
pos	طعمه لذيذ وحلو .. 
pos	الجامعة سهلت علي الدخول 
pos	انا بخير الحمدلله كل شي تمام
pos	الحمدلله
pos	التدريس في الجامعة مستواه عالي
pos	المستوى في التدريس ممتاز
pos	تجربتي في الجامعة جيدة والجامعة يساعدونك في كل شي 
pos	حرفيا الدكاترة ممتازين 
pos	كل الطاقم في الجامعة كويسين
pos	مبنى الجامعة كويس جداً
pos	المنى حق الجامعة في الدمام ممتاز
pos	المحامي جيد سعد الخالدي
pos	المطر رايق وحلو
pos	الأمطار الغزيرة تجلب السعادة
pos	كل شي جميل في هذه الحياه 
pos	الصلاة على النبي صلى الله عليه وسلم سعادة غير منتهيه
pos	استغفروا الله وادعوه في كل حياتكم
pos	التركيز في امور الحياه المهمه تصقل شخصية الانسان وتجعله اكثر عطاء
pos	العطاء من شيم الكرام
pos	ليست مشكلة اذا تم حلها من البداية
pos	الحقيقة دائما منجاة للشخص من كل الأشياء
pos	الحمدلله على كل حال
pos	ماذا تريد مني ياجميل
pos	الجامعة السعودية الالكترونية جامعة مرموقة وذات كوادر عالمية
pos	الهلال السعودي أفضل نادي في الخليج
pos	الهلال السعودي بطل اسيا بلا منازع
pos	الاختبارات كانت بسيطه ومفهومه وتقدر تستوعبها ببساطه
pos	يا اخوان الوضع جدا جميل واليوم الوطني كان رايق
pos	ليتك جيتني كان رحنا وانبسطنا في المخيم
pos	امدحك لأنك تستاهل المدح ياكبتن
pos	الطموح بأهداف يزيد فرصتك للوصول الى النجاح بتوفيق الله
pos	الجمال الحقيقي هو جمال الروح وجمال الروح مرتبط بأخلاق الشخص
pos	الخضار مفيدة لصحة الجسم وصحة العقل
pos	الرياضة تجعلك اقوى واكثر نشاط في كل يوم
pos	ذكر الله يزيل الهموم ويعدل المزاج
pos	صوتي جميل واعرف اغني راب واعرف اغني عادي
pos	سبحان الله وبحمده سبحان الله العظيم
pos	زيدنا علم ونحن نريد ان نتعلم منك ياحلو
pos	الحلوين فقط هم من يتمتعون بحس الفكاهه والرواقه
pos	أحب صوتك وأحب رموش عينك السود وأحب الصباح فيك :(
pos	صباح الخير يا جامعتي الجميلة
pos	كيف حالك
pos	كيفك عساك بخير
pos	شخبارك عساك طيب وامورك تمام
pos	انا تمام وانت كيفك
pos	كيفك ياعيوني يا رمش العين وهدبه
pos	#الكريبتو البيتكوين طالع فوق ياسلام
pos	كبار السن اجمل الناس في السوالف والضحك
pos	قاعد اضحك على نكته قديمه ههههههههههههههههههههه
pos	ليه ماضحكنا معك ههههههههه
pos	تكفى عيد السؤال تاني ابي اضحك 
pos	وش السالفة صار الكل يضحك على النكته
pos	الهرجه ان فيه ناس رايقين ومروقين وانا مع الرايقين
pos	الرياض افضل مدينة للسكن حاليا متطورة جدا
pos	التطور اللي حاصل في السعودية جيد جدا 
pos	اي شخص في السعودية يستطيع استخراج سجل تجاري خلال ١٨٠ ثانية
pos	ممتاز جدا اللي قاعد يصير انه كل شي صار الكتروني وسريع
pos	ياعساها سعيده دايم وابد
pos	الله يخليها لك ويحفظها ويسعدها 
pos	كيف تقول ان الرياض جميلة الرياض من افضل المدن العملية والسكنية
pos	الناس الطيبة قلوب نقية وروس جعلها دايمه
pos	العمل في الشركات أفضل من العمل في القطاع الحكومي
pos	الشركات النفطية رواتبها اعلى من الشركات العادية
pos	النوم لمدة ٨ ساعات يخلي الواحد رايق جدا
pos	الحيوانات الاليفة جميلة تخلي البيت كله منعنعش
pos	السيارات الغالية فيه انظمة حماية متطوره وبإذن الله تحميك بعد امر الله من المشاكل مستقبلاً
pos	الرسائل للشخص الغالي تزيد من قوة الترابط بينكم
pos	الكيان المتحد والعمل الجماعي من سمات الكيان الناجح
pos	النجاح في الاختبارات ليس المطلوب بس المعرفة والتعلم هي الطموح
pos	النجاح الحقيقي لاتتوقع انه مرتبط في بلوغ اهدافك بل في التطور والاستمرارية
pos	انا مروقه بس احتاج ترويقه اقوى
pos	اتفق معك في كل ماهو صحيح يعتبر نجاح
pos	الزواج في سن الشباب من الإيجابيات للحياة الزوجية السعيدة
pos	التعرف على الأمور الجديدة تفيد في مستوى المعرفة واللباقة
pos	يجب على الشخص المداومة على الصلاة والدعاء دائما
pos	احفظ الله يحفظك احفظ  الله تجده امامك
pos	لابد من تعليم الأبناء في سن مبكر على الصلاة والاستقامة في امورنا الحياتية
pos	اللهم صل على محمد واله وصحبه اجمعين
pos	يجب عليك معرفة حقوقك كموظف قطاع خاص لكي تعمل وانت على معرفة بكل ماهو لك وكل ماهو مطلوب منك
pos	شكرا لك على الهدية
pos	العفو اخوي وكلنا تحت امرك
pos	العسكرية قطاع جميل وقطاع ذا قيمة عالية
pos	الحياة بيوتيفل
pos	اضحك اضحك 
pos	لطافه العالم هنا
pos	الام مدرسة اذا اعددتها اعددت شعباً عظيماً
pos	الواقع اجمل والاحلام جميلة
pos	يجب عليك التركيز في كل ماهو ايجابي
pos	لماذا نتطلع دائما ان نكون كاملين والكامل وجهه سبحانه يجب عليك معرفة ان الكمال ليس من صفات البشر وارضى بما لديك
pos	الاحترام صفة طيبه من صفات المسلمين
pos	اصبحنا واصبح الملك لله سبحانه
pos	الليل جميل والقمر نوره أجمل
pos	الاحترام صفة طيبه من صفات المسلمين
pos	الاحترام صفة طيبه من صفات المسلمين
pos	الاحترام صفة طيبه من صفات المسلمين
pos	اصبحنا واصبح الملك لله سبحانه
